Filename,Classifier,Feature_Selection,Balancing,Cost_Sensitive,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt
storm_IBk_BestFirst_NoSampling_noCostSensitive_1.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0,0.0,0.0,0.03385203385203385,1.0,0.0,0,0.20242914979757085,0.2834008097165992,0.3441295546558704,0.41295546558704455,0.46963562753036436,0.5425101214574899,0.6032388663967612,0.6761133603238867,0.7368421052631579,0.8137651821862348,0.8704453441295547,0.902834008097166,0.9311740890688259,0.9635627530364372,0.9919028340080972,1.0,1.0,1.0,1.0,0.07419292612600979,0.20242914979757085,0.2834008097165992,0.3441295546558704,0.41295546558704455,0.46963562753036436,0.5425101214574899,0.6032388663967612,0.6761133603238867,0.7368421052631579,0.8137651821862348,0.8704453441295547,0.902834008097166,0.9311740890688259,0.9635627530364372,0.9919028340080972,1.0,1.0,1.0,1.0,0.1380648230396069,0.35460992907801425,0.4093567251461988,0.4450261780104712,0.49514563106796117,0.5321100917431192,0.29323308270676696,0.09375,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7234178563818453
storm_IBk_BestFirst_NoSampling_noCostSensitive_10.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,1.0,0.017241379310344827,0.03389830508474576,0.5739943071613894,0.9930075389213544,0.03389830508474576,0.12895078397331264,0.2413793103448276,0.3620689655172414,0.41379310344827586,0.5172413793103449,0.603448275862069,0.7068965517241379,0.7586206896551724,0.8448275862068966,0.896551724137931,0.9137931034482759,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.7831215970961887,0.2413793103448276,0.3620689655172414,0.41379310344827586,0.5172413793103449,0.603448275862069,0.7068965517241379,0.7586206896551724,0.8448275862068966,0.896551724137931,0.9137931034482759,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.794010889292196,0.24137931034482762,0.3620689655172413,0.4137931034482758,0.5172413793103449,0.603448275862069,0.7068965517241379,0.7586206896551724,0.8448275862068966,0.896551724137931,0.9137931034482759,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1,0.794010889292196
storm_IBk_BestFirst_NoSampling_noCostSensitive_11.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0.775,0.4626865671641791,0.5794392523364486,0.5381046652497411,0.8967702958333744,0.6302430365920263,0.573179835560835,0.5074626865671642,0.6119402985074627,0.6567164179104478,0.7238805970149254,0.7761194029850746,0.8432835820895522,0.8805970149253731,0.9253731343283582,0.9477611940298507,0.9477611940298507,0.9477611940298507,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9776119402985075,0.9925373134328358,1.0,0.7662439681292784,0.5074626865671642,0.6119402985074627,0.6567164179104478,0.7238805970149254,0.7761194029850746,0.8432835820895522,0.8805970149253731,0.9253731343283582,0.9477611940298507,0.9477611940298507,0.9477611940298507,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9776119402985075,0.9925373134328358,1.0,0.867093105899076,0.5074626865671642,0.6119402985074627,0.6567164179104478,0.7238805970149254,0.7761194029850746,0.8432835820895522,0.8805970149253731,0.9253731343283582,0.9477611940298507,0.9477611940298507,0.9477611940298507,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9776119402985075,0.9523809523809522,1,0.8692065985860173
storm_IBk_BestFirst_NoSampling_noCostSensitive_12.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0.9491525423728814,0.4375,0.5989304812834224,0.7411462781293939,0.9754083310016789,0.608384283730787,0.6298840774703124,0.5859375,0.6953125,0.7421875,0.765625,0.7890625,0.84375,0.859375,0.8828125,0.9453125,0.953125,0.96875,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,1.0,0.8870065789473683,0.5859375,0.6953125,0.7421875,0.765625,0.7890625,0.84375,0.859375,0.8828125,0.9453125,0.953125,0.96875,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,1.0,0.8861842105263157,0.5859375,0.6953125,0.7421875,0.765625,0.7890625,0.84375,0.859375,0.8828125,0.9453125,0.953125,0.96875,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.9,1,0.890625
storm_IBk_BestFirst_NoSampling_noCostSensitive_13.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0.6037735849056604,0.41025641025641024,0.48854961832061067,0.47331741232120916,0.8545785266382653,0.5795856839412556,0.47813879536825693,0.6410256410256411,0.7051282051282052,0.7692307692307693,0.782051282051282,0.8076923076923077,0.8333333333333334,0.8589743589743589,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8974358974358975,0.8974358974358975,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.9102564102564102,1.0,0.836140350877193,0.6410256410256411,0.7051282051282052,0.7692307692307693,0.782051282051282,0.8076923076923077,0.8333333333333334,0.8589743589743589,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8974358974358975,0.8974358974358975,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.9102564102564102,1.0,0.84221322537112,0.6410256410256411,0.7051282051282052,0.7692307692307693,0.782051282051282,0.8076923076923077,0.8333333333333334,0.8589743589743589,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8974358974358975,0.8974358974358975,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.72,1,0.8522267206477734
storm_IBk_BestFirst_NoSampling_noCostSensitive_14.csv,IBk,BestFirst,NoSampling,noCostSensitive,1,0.7142857142857143,0.09803921568627451,0.1724137931034483,0.5033337532887487,0.9585138270645991,0.17855521867794702,0.25900839994098496,0.1568627450980392,0.19607843137254902,0.27450980392156865,0.29411764705882354,0.4117647058823529,0.45098039215686275,0.47058823529411764,0.5098039215686274,0.6274509803921569,0.7058823529411765,0.803921568627451,0.8235294117647058,0.9019607843137255,0.9607843137254902,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,1.0,0.5132257889305306,0.1568627450980392,0.19607843137254902,0.27450980392156865,0.29411764705882354,0.4117647058823529,0.45098039215686275,0.47058823529411764,0.5098039215686274,0.6274509803921569,0.7058823529411765,0.803921568627451,0.8235294117647058,0.9019607843137255,0.9607843137254902,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,1.0,0.6566726413557112,0.1568627450980392,0.196078431372549,0.27450980392156865,0.2941176470588236,0.4117647058823529,0.4509803921568627,0.47058823529411764,0.5098039215686274,0.6274509803921569,0.7058823529411765,0.803921568627451,0.8235294117647058,0.9019607843137255,0.9607843137254902,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9473684210526314,1,0.6584107327141383
storm_IBk_BestFirst_NoSampling_noCostSensitive_15.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0.8648648648648649,0.5245901639344263,0.6530612244897959,0.6070263576149117,0.8610746082328591,0.6875779045234537,0.6663616316801901,0.5409836065573771,0.5573770491803278,0.5737704918032787,0.5901639344262295,0.6065573770491803,0.6557377049180327,0.6721311475409836,0.7049180327868853,0.7704918032786885,0.8360655737704918,0.8524590163934426,0.8524590163934426,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.9508196721311475,0.9836065573770492,1.0,0.7741347905282331,0.5409836065573771,0.5573770491803278,0.5737704918032787,0.5901639344262295,0.6065573770491803,0.6557377049180327,0.6721311475409836,0.7049180327868853,0.7704918032786885,0.8360655737704918,0.8524590163934426,0.8524590163934426,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.9508196721311475,0.9836065573770492,1.0,0.7710190777490173,0.5409836065573771,0.5573770491803278,0.5737704918032787,0.5901639344262295,0.6065573770491803,0.6557377049180327,0.6721311475409836,0.7049180327868853,0.7704918032786885,0.8360655737704918,0.8524590163934426,0.8524590163934426,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.9508196721311475,0.9444444444444444,1,0.7730802415875755
storm_IBk_BestFirst_NoSampling_noCostSensitive_16.csv,IBk,BestFirst,NoSampling,noCostSensitive,1,0.7142857142857143,0.625,0.6666666666666666,0.4896614622775353,0.9043285371702638,0.7678075855689177,0.662232222830167,0.6,0.625,0.675,0.725,0.725,0.725,0.775,0.825,0.85,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.95,1.0,0.8323099415204679,0.6,0.625,0.675,0.725,0.725,0.725,0.775,0.825,0.85,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.95,1.0,0.8323099415204679,0.6,0.625,0.675,0.725,0.725,0.725,0.775,0.825,0.85,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.8888888888888888,1,0.8355263157894737
storm_IBk_BestFirst_NoSampling_noCostSensitive_17.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0,0.0,0.0,0.09206417112299464,1.0,0.0,0,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.4444444444444444,0.5185185185185185,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.7407407407407407,0.8148148148148148,0.9259259259259259,0.9629629629629629,1.0,1.0,1.0,0.5555555555555556,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.4444444444444444,0.5185185185185185,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.7407407407407407,0.8148148148148148,0.9259259259259259,0.9629629629629629,1.0,1.0,1.0,0.5555555555555556,0.07407407407407407,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.2222222222222222,0.2592592592592593,0.2962962962962963,0.4444444444444444,0.5185185185185185,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.7407407407407407,0.8148148148148148,0.9259259259259259,0.9629629629629629,1.0,1.0,1,0.5555555555555556
storm_IBk_BestFirst_NoSampling_noCostSensitive_2.csv,IBk,BestFirst,NoSampling,noCostSensitive,21,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0
storm_IBk_BestFirst_NoSampling_noCostSensitive_3.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0.7128712871287128,0.37894736842105264,0.4948453608247423,0.6103074191645189,0.9634093194770366,0.5424018713920994,0.42714885955662124,0.30526315789473685,0.34210526315789475,0.3631578947368421,0.3736842105263158,0.3736842105263158,0.3736842105263158,0.3736842105263158,0.5210526315789473,0.6052631578947368,0.6631578947368421,0.7210526315789474,0.7947368421052632,0.8473684210526315,0.9,0.9210526315789473,0.9473684210526315,0.968421052631579,0.9894736842105263,1.0,0.2675151325444897,0.30526315789473685,0.34210526315789475,0.3631578947368421,0.3736842105263158,0.3736842105263158,0.3736842105263158,0.3736842105263158,0.5210526315789473,0.6052631578947368,0.6631578947368421,0.7210526315789474,0.7947368421052632,0.8473684210526315,0.9,0.9210526315789473,0.9473684210526315,0.968421052631579,0.9894736842105263,1.0,0.285254207587956,0.4055944055944056,0.39634146341463405,0.38983050847457634,0.38586956521739124,0.3776595744680852,0.3756613756613757,0.3756613756613757,0.5238095238095237,0.6052631578947368,0.45299145299145294,0.1311475409836066,0,0,0,0,0,0,0,1,0.6518005540166204
storm_IBk_BestFirst_NoSampling_noCostSensitive_4.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0.6036036036036037,0.19197707736389685,0.29130434782608694,0.49098728289984694,0.7103579672078957,0.3178810309462231,0.17241050374830907,0.30659025787965616,0.40974212034383956,0.4699140401146132,0.5444126074498568,0.6074498567335244,0.66189111747851,0.6905444126074498,0.7163323782234957,0.7507163323782235,0.7908309455587392,0.8194842406876791,0.8882521489971347,0.9426934097421203,0.9426934097421203,0.9426934097421203,0.9426934097421203,0.9713467048710601,0.9828080229226361,1.0,0.1113548943726661,0.30659025787965616,0.40974212034383956,0.4699140401146132,0.5444126074498568,0.6074498567335244,0.66189111747851,0.6905444126074498,0.7163323782234957,0.7507163323782235,0.7908309455587392,0.8194842406876791,0.8882521489971347,0.9426934097421203,0.9426934097421203,0.9426934097421203,0.9426934097421203,0.9713467048710601,0.9828080229226361,1.0,0.3514029171718196,0.42799999999999994,0.4847457627118644,0.5141065830721003,0.5671641791044777,0.6180758017492711,0.6657060518731989,0.6925287356321839,0.7183908045977012,0.5962441314553991,0.37606837606837595,0.015625,0,0,0,0,0,0,0,1,0.7568994118534157
