Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
bookkeeper_IBk_BestFirst_NoSampling_noCostSensitive_1.csv,4,0,0.0,0.0,0.04685622747296756,1.0,0.0,0,0.22413793103448276,0.3103448275862069,0.3793103448275862,0.46551724137931033,0.5172413793103449,0.5862068965517241,0.6637931034482759,0.7155172413793104,0.7758620689655172,0.8275862068965517,0.8706896551724138,0.896551724137931,0.9224137931034483,0.9482758620689655,0.9741379310344828,0.9913793103448276,1.0,1.0,1.0,0.1651875133177072,0.22413793103448276,0.3103448275862069,0.3793103448275862,0.46551724137931033,0.5172413793103449,0.5862068965517241,0.6637931034482759,0.7155172413793104,0.7758620689655172,0.8275862068965517,0.8706896551724138,0.896551724137931,0.9224137931034483,0.9482758620689655,0.9741379310344828,0.9913793103448276,1.0,1.0,1.0,0.15070081062217597,0.5,0.5538461538461539,0.5789473684210527,0.423076923076923,0.2500000000000001,0.1290322580645159,0.08000000000000018,0.0,0.05555555555555536,0.06666666666666643,0.14285714285714313,0.08333333333333293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404718693284936,
bookkeeper_IBk_BestFirst_NoSampling_noCostSensitive_2.csv,0,0.8666666666666667,0.7482014388489209,0.803088803088803,0.7420356810992842,0.9721850426635437,0.8199737187910645,0.669150403580302,0.36231884057971014,0.45652173913043476,0.5217391304347826,0.5869565217391305,0.6376811594202898,0.6739130434782609,0.7101449275362319,0.7318840579710145,0.7463768115942029,0.7536231884057971,0.7898550724637681,0.855072463768116,0.9057971014492754,0.9710144927536232,1.0,1.0,1.0,1.0,1.0,0.30254947241740626,0.36231884057971014,0.45652173913043476,0.5217391304347826,0.5869565217391305,0.6376811594202898,0.6739130434782609,0.7101449275362319,0.7318840579710145,0.7463768115942029,0.7536231884057971,0.7898550724637681,0.855072463768116,0.9057971014492754,0.9710144927536232,1.0,1.0,1.0,1.0,1.0,0.24785356983960383,0.7575757575757576,0.7682926829268293,0.75,0.6065573770491803,0.4565217391304347,0.2702702702702703,0.10000000000000042,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.7738367658276125,
bookkeeper_IBk_BestFirst_NoSampling_noCostSensitive_3.csv,0,0.8024691358024691,0.7222222222222222,0.7602339181286549,0.6743766770635923,0.942114024136496,0.8168732006508949,0.6866457037556194,0.37777777777777777,0.4666666666666667,0.5333333333333333,0.6,0.6555555555555556,0.6888888888888889,0.7,0.7555555555555555,0.8,0.8333333333333334,0.8888888888888888,0.9111111111111111,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.7469873415636658,0.37777777777777777,0.4666666666666667,0.5333333333333333,0.6,0.6555555555555556,0.6888888888888889,0.7,0.7555555555555555,0.8,0.8333333333333334,0.8888888888888888,0.9111111111111111,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.7548100957996006,0.6799999999999999,0.6774193548387097,0.6857142857142857,0.7012987012987013,0.7195121951219512,0.7126436781609196,0.7,0.7555555555555555,0.8,0.8333333333333334,0.8888888888888888,0.8644067796610169,0.9047619047619049,0.9,0.8571428571428572,0.7857142857142858,0.6250000000000002,0.24999999999999933,1,0.7894736842105263,
bookkeeper_IBk_BestFirst_NoSampling_noCostSensitive_4.csv,2,0.6181818181818182,0.6538461538461539,0.6355140186915887,0.47843951334470103,0.9045092838196286,0.7642596234897443,0.5607613895634295,0.28846153846153844,0.36538461538461536,0.4423076923076923,0.5192307692307693,0.5769230769230769,0.6538461538461539,0.7692307692307693,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9423076923076923,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8214279277984737,0.28846153846153844,0.36538461538461536,0.4423076923076923,0.5192307692307693,0.5769230769230769,0.6538461538461539,0.7692307692307693,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9423076923076923,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8197764902182195,0.4687499999999999,0.4871794871794871,0.5111111111111111,0.5510204081632654,0.5769230769230769,0.6538461538461539,0.7692307692307693,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9423076923076923,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1,0.798582995951417,
bookkeeper_IBk_BestFirst_NoSampling_noCostSensitive_5.csv,0,0.525,0.3559322033898305,0.42424242424242425,0.42485293911650873,0.8293046995377505,0.517252856984356,0.35720909886081503,0.2542372881355932,0.3050847457627119,0.3559322033898305,0.4067796610169492,0.4915254237288136,0.5932203389830508,0.6949152542372882,0.7627118644067796,0.7796610169491526,0.847457627118644,0.864406779661017,0.8983050847457628,0.9322033898305084,0.9661016949152542,1.0,1.0,1.0,1.0,1.0,0.6438347563155803,0.2542372881355932,0.3050847457627119,0.3559322033898305,0.4067796610169492,0.4915254237288136,0.5932203389830508,0.6949152542372882,0.7627118644067796,0.7796610169491526,0.847457627118644,0.864406779661017,0.8983050847457628,0.9322033898305084,0.9661016949152542,1.0,1.0,1.0,1.0,1.0,0.7522511644888282,0.34090909090909094,0.34615384615384615,0.368421052631579,0.4067796610169492,0.4915254237288136,0.5932203389830508,0.6949152542372882,0.7627118644067796,0.7796610169491526,0.847457627118644,0.864406779661017,0.8983050847457628,0.9322033898305084,0.9661016949152542,1.0,1.0,1.0,1.0,1,0.7448706512042819,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_1.csv,4,0,0.0,0.0,0.04685622747296756,1.0,0.0,0,0.22413793103448276,0.3103448275862069,0.3793103448275862,0.46551724137931033,0.5172413793103449,0.5862068965517241,0.6637931034482759,0.7155172413793104,0.7758620689655172,0.8275862068965517,0.8706896551724138,0.896551724137931,0.9224137931034483,0.9482758620689655,0.9741379310344828,0.9913793103448276,1.0,1.0,1.0,0.1651875133177072,0.22413793103448276,0.3103448275862069,0.3793103448275862,0.46551724137931033,0.5172413793103449,0.5862068965517241,0.6637931034482759,0.7155172413793104,0.7758620689655172,0.8275862068965517,0.8706896551724138,0.896551724137931,0.9224137931034483,0.9482758620689655,0.9741379310344828,0.9913793103448276,1.0,1.0,1.0,0.15070081062217597,0.5,0.5538461538461539,0.5789473684210527,0.423076923076923,0.2500000000000001,0.1290322580645159,0.08000000000000018,0.0,0.05555555555555536,0.06666666666666643,0.14285714285714313,0.08333333333333293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404718693284936,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_2.csv,0,0.8455284552845529,0.7482014388489209,0.7938931297709924,0.7324274031983232,0.9390580558808768,0.8127697612054655,0.6484571696264365,0.35507246376811596,0.45652173913043476,0.5217391304347826,0.5869565217391305,0.6376811594202898,0.6739130434782609,0.7101449275362319,0.7318840579710145,0.7463768115942029,0.7536231884057971,0.7898550724637681,0.855072463768116,0.9057971014492754,0.9710144927536232,1.0,1.0,1.0,1.0,1.0,0.30254947241740626,0.35507246376811596,0.45652173913043476,0.5217391304347826,0.5869565217391305,0.6376811594202898,0.6739130434782609,0.7101449275362319,0.7318840579710145,0.7463768115942029,0.7536231884057971,0.7898550724637681,0.855072463768116,0.9057971014492754,0.9710144927536232,1.0,1.0,1.0,1.0,1.0,0.2470561216737346,0.7424242424242424,0.7682926829268293,0.75,0.6065573770491803,0.4565217391304347,0.2702702702702703,0.10000000000000042,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.7734553775743707,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_3.csv,0,0.7674418604651163,0.7333333333333333,0.75,0.47252950610678357,0.942114024136496,0.8181270701595906,0.668575755429446,0.2111111111111111,0.2777777777777778,0.36666666666666664,0.4777777777777778,0.5444444444444444,0.6,0.6666666666666666,0.7444444444444445,0.7888888888888889,0.8333333333333334,0.8777777777777778,0.9222222222222223,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.7469873415636658,0.2111111111111111,0.2777777777777778,0.36666666666666664,0.4777777777777778,0.5444444444444444,0.6,0.6666666666666666,0.7444444444444445,0.7888888888888889,0.8333333333333334,0.8777777777777778,0.9222222222222223,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.6919175083177611,0.38,0.4032258064516129,0.4714285714285714,0.5584415584415585,0.5975609756097561,0.6206896551724137,0.6666666666666666,0.7444444444444445,0.7888888888888889,0.8333333333333334,0.8777777777777778,0.8813559322033899,0.9047619047619049,0.9,0.8571428571428572,0.7857142857142858,0.6250000000000002,0.24999999999999933,1,0.7421052631578947,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_4.csv,2,0.32075471698113206,0.6538461538461539,0.43037974683544306,0.3421343199477705,0.9045092838196286,0.687199230028874,0.2972742788659866,0.19230769230769232,0.3269230769230769,0.4230769230769231,0.5,0.5769230769230769,0.6538461538461539,0.7692307692307693,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9423076923076923,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8214279277984737,0.19230769230769232,0.3269230769230769,0.4230769230769231,0.5,0.5769230769230769,0.6538461538461539,0.7692307692307693,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9423076923076923,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8066100461777154,0.3125,0.4358974358974359,0.4888888888888888,0.5306122448979592,0.5769230769230769,0.6538461538461539,0.7692307692307693,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9423076923076923,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1,0.7894736842105263,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_5.csv,0,0.23529411764705882,0.4067796610169492,0.2981366459627329,0.252013770492412,0.8293046995377505,0.5343300560656536,0.1503254860559755,0.1864406779661017,0.3050847457627119,0.3559322033898305,0.4067796610169492,0.4915254237288136,0.5932203389830508,0.6949152542372882,0.7627118644067796,0.7796610169491526,0.847457627118644,0.864406779661017,0.8983050847457628,0.9322033898305084,0.9661016949152542,1.0,1.0,1.0,1.0,1.0,0.6438347563155803,0.1864406779661017,0.3050847457627119,0.3559322033898305,0.4067796610169492,0.4915254237288136,0.5932203389830508,0.6949152542372882,0.7627118644067796,0.7796610169491526,0.847457627118644,0.864406779661017,0.8983050847457628,0.9322033898305084,0.9661016949152542,1.0,1.0,1.0,1.0,1.0,0.7474664754936129,0.2499999999999999,0.34615384615384615,0.368421052631579,0.4067796610169492,0.4915254237288136,0.5932203389830508,0.6949152542372882,0.7627118644067796,0.7796610169491526,0.847457627118644,0.864406779661017,0.8983050847457628,0.9322033898305084,0.9661016949152542,1.0,1.0,1.0,1.0,1,0.7413024085637824,
